grumble,v.喃喃訴苦，發怨言
guarantee,v.保證，擔保
guffaw,n./v.哄笑，大笑
guile,n.欺詐，狡猾
guileless,a.厚道的，老實的
guillotine,n.斷頭台
guilt,n.罪行；內疚
guilty,a.有罪的
guise,n.外觀，裝束
gullible,a.易受騙的
gully,n.雨水衝成的溝壑
gulp,v.吞食，咽下
gum,n.樹膠，橡皮
guru,n.古魯(印度的宗教領袖)；(受尊敬的)教師或權威
gush,v.湧出；滔滔不絕地說
gusher,n.滔滔不絕的說話者；噴油井
gust,n.陣風；一陣(情緒)
gustation,n.品嘗；味覺
gustatory,a.味覺的，品嘗的
gutter,n.水槽；街溝
guy,n.(鐵塔等的)支索，牽索
guzzle,v.大吃大喝
gyrate,a.旋轉的；v.旋轉
habitat,n.自然環境，棲息地
habituate,v.使習慣於
hack,v.亂劈，亂砍；n.雇傭文人
hackneyed,a.陳腐的，平常的
hail,n.冰雹；v.致敬
halcyon,a.平靜的；愉快的
hale,a.健壯的，矍鑠的
halfhearted,a.不認真的，不熱心的
hallmark,n.(在金銀上的)純度印記；特徵
hallow,v.把…視為神聖，尊敬
hallowed,a.神聖的
hallucination,n.幻覺，幻視
halo,n.(日、月等)暈，神像之光環
halting,a.躊躇的，吞吞吐吐的
hammer,n.錘子，槌
hamper,v.妨礙，阻撓；n.有蓋提籃
handle,n.柄，把手；v.處理
hangar,n.飛機庫
hangdog,a.憂愁的；低賤的
hankering,n.渴望
haphazard,a.任意的
harangue,n.長篇指責性演說
harass,v.侵擾，煩憂
harbinger,n.先驅，先兆
harbor,n.港，避難所；v.包庇，隱匿
harden,v.變硬，變堅強
hardheaded,a.(商業上)現實的，精明的
hardy,a.耐寒的；強壯的
harmony,n.相符，一致；協調，勻稱
harness,n.馬具；v.束以馬具；利用
harp,n.竪琴；v.喋喋不休地說或寫
harpsichord,n.鍵琴(鋼琴前身)
harridan,n.凶惡的老婦，老巫婆
harrow,n.耙；v.使痛苦
harrowing,a.悲痛的，難受的
harry,v.掠奪，襲擾，折磨
harsh,a.嚴厲的；粗糙的；刺耳的
harshly,adv.嚴酷地，無情地
hasten,v.催促，促進
hasty,a.急急忙忙的
hatch,n.船艙蓋；v.孵化
haughty,a.傲慢的，自大的
haunt,v.常去；鬼魂出沒；(事情)縈繞心頭；n.常去的地方
hauteur,n.傲慢
haven,n.安息所，避難所
havoc,n.大破壞，混亂
hawk,n.隼，鷹
hazard,n.危險
hazardous,a.危險的
headlong,adj./adv.輕率的(地)，迅猛的(地)
headstrong,a.剛愎自用的
headway,n.進步，進展
heal,v.治癒
hearken,v.傾聽
hearten,v.鼓勵，激勵
heartrending,a.令人心碎的
heavy-handedness,n.笨拙，粗劣
heckle,v.詰問，困擾
hectic,a.興奮的；繁忙的
hector,v.凌辱，威嚇
hedge,n.樹籬；限制
hedonist,n.享樂主義者
heed,v.注意，留心；n.關心
hegemony,n.霸權，領導權
heinous,a.十惡不赦的
heir,n.繼承人
heirloom,n.傳家寶
helmet,n.頭盔，鋼盔
hem,v.包圍；n.袖邊，邊緣；interj.吞吞吐吐地說
hemisphere,n.半球
hemophilia,n.血友病，出血不止
hemorrhage,n.出血(尤指大出血)
hemostat,n.止血器；止血劑
herbaceous,a.草本植物的
herbicide,n.除草劑
herbivorous,a.食草的
herd,n.獸群；v.聚集
hereditary,a.祖傳的，世襲的
heresy,n.異端邪說
heretic,n.異教徒
heretical,a.異端邪說的
hermetic,a.密封的；深奧的
hermit,n.隱士，修道者
herpetologist,n.爬行動物學家
heterodox,a.異端的，非正統的
heterogeneous,a.異類的，不同的
hew,v.砍伐；遵守
hexagon,n.六角形，六邊形
hiatus,n.空隙，裂縫
hibernate,v.冬眠，蟄伏
hide,n.獸皮
hidebound,a.頑固的，心胸狹窄的
hideous,a.討厭的，醜惡的
hie,v.疾走，催促
hierarchy,n.階層；等級制度
hieroglyph,n.象形文字，圖畫文字
hieroglyphic,n.象形文字
highbrow,n.自以為文化修養很高的人
hike,v.高漲，上升；n.徒步旅行
hilarious,a.充滿歡樂的；引起大笑的
hinder,v.阻礙，妨礙
hinge,n.鉸鏈；關鍵
hirsute,a.多毛的
hiss,v.作噓聲；(蛇等)發出嘶嘶聲
histology,n.細胞組織學
histrionic,a.演戲的；劇院的
hitherto,adv.到目前為止
hive,n.蜂房；忙碌之地
hoard,v./n.貯藏，秘藏
hoary,a.(頭髮)灰白的；古老的
hoax,n./v.騙局，欺騙
hodgepodge,n.混淆；雜菜
hoe,n.鋤頭
hoist,v.吊高，升起；n.起重機
hold,n.(船)貨艙
holster,n.手槍皮套
homage,n.效忠，崇敬
homeostasis,n.體內平衡
homiletics,n.講道術，說教術
homogeneity,n.同種，同質
homogeneous,a.同類的，相似的
homogenize,v.使均勻，使一致
hone,n.磨刀石；v.磨刀
honorarium,n.酬勞金，謝禮
hoodwink,v.蒙混，欺騙
hoof,n.(牛馬的)蹄
hoop,n.(桶之)箍，鐵環
horizontal,a.水平的
hormone,n.荷爾蒙，激素
horn,n.角，角質；喇叭
horrific,a.可怕的
hortative,a.激勵的
horticulture,n.園藝學
hospitable,a.豁達的
hostile,a.敵對的，敵意的
hostility,n.敵對，不友好，憎恨
hovel,n.茅舍；骯髒的小屋
hover,v.翱翔；(人)徘徊
hub,n.軸心；中心
hubris,n.過分自傲，目中無人
huckster,n.叫賣小販，零售商
hue,n.色彩，色澤
hulk,n.廢船，船殼；笨重之人或物
hull,n.外殼；莢；船身；v.剝去外殼
humane,a.人道的，慈悲的
humble,a.卑微的；v.使謙卑
humdrum,a.單調的，乏味的
humid,a.濕潤的
humidity,n.濕度，濕氣
humiliate,v.使屈辱
humility,n.謙遜，謙恭
humor,v.縱容，遷就
hunch,n.直覺，預感
hurdle,n.跳欄；障礙；v.克服(障礙)
hurl,v.猛投；大聲叫罵
hurricane,n.颶風
husband,v.妥善而又節約地管理；做…的丈夫
husbandry,n.耕種，務農；節斂管理
hush,v./n.肅靜，安靜
husk,n.外殼；皮，莢
husky,a.聲音沙啞的
hybrid,n.雜種；混血人
hydrant,n.(消防)水龍頭；消防栓
hydrate,n.水化物；v.水化
hymn,n.贊美詩
hyperactivity,n.活動過強，極度亢奮
hyperbole,n.誇張法；a.誇張的
hypertension,n.高血壓
hyphen,n.連字號(即「-」)
hypnotic,a.催眠的；n.催眠藥
hypocrite,n.偽善者，偽君子
hypocritical,a.虛偽的
hypotenuse,n.(直角三角形的)斜邊
hypothesis,n.假設，假說
hypothetical,a.假設的
hysteria,n.歇斯底里症
icicle,n.冰柱，冰垂
icon,n.聖像，偶像
iconoclast,n.攻擊傳統觀念或風俗的人
iconoclastic,a.對傳統觀念(或慣例)進行攻擊的
ideology,n.思想體系，思想意識，意識形態
idiom,n.習語，語言的習慣用法；特色
idle,a.(指人)無所事事的；無效的；v.懶散，無所事事
idolater,n.神像(偶像)崇拜者
idyll,n.田園生活；田園詩
igneous,a.火的，火絨的
ignite,v.發光；點燃，燃燒
ignoble,a.卑鄙的
ignominious,a.可恥的；恥辱的
ignominy,n.羞恥，屈辱
ignorant,a.無知的，愚昧的
illegal,a.違法的
